Title,Header,Type,Date,Country,Amount
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,World,"11,846"
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Asia and Oceania,"1,456"
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Middle East,432
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Americas,386
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Europe,"1,112"
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Africa,"8,460"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Denmark,"116,164,160 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Cameroon,"109,313,437 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Yemen,"206,019,329 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Turkmenistan,"26,688,184 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,France,"851,014,010 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Tokelau,"7,539 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Southern Europe (FAO),"2,030,757,484 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,United Kingdom,"1,175,012,388 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,United States,"9,943,663,246 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Nicaragua,"68,398,641 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Libya,"114,361,006 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Sudan,"66,599,787 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Germany,"723,524,618 animals"
